#	RX	RY	GX	GY	S1	S2	S3	S4	a		d
1	134	186	131	201	0	0	0	0	4.9098	15.2971
2	135	187	133	201	0	0	0	0	4.8543	14.1421
3	134	188	129	201	0	0	0	0	5.0796	13.9284
4	134	189	130	202	0	0	0	0	5.0109	13.6015
5	133	190	127	203	0	0	0	0	5.1448	14.3178
6	134	191	128	204	0	0	0	0	5.1448	14.3178
7	133	192	126	204	0	0	0	0	5.2405	13.8924
8	133	193	127	205	0	0	0	0	5.1760	13.4164
9	133	195	125	205	0	0	0	0	5.3871	12.8062
10	133	195	126	206	0	0	0	0	5.2791	13.0384
11	133	197	124	205	0	0	0	0	5.5565	12.0416
12	133	197	125	206	0	0	0	0	5.4390	12.0416
13	133	198	124	205	0	0	0	0	5.6221	11.4018
14	133	199	124	206	0	0	0	0	5.6221	11.4018
15	133	199	124	205	0	0	0	0	5.6952	10.8167
16	133	200	124	206	0	0	0	0	5.6952	10.8167
17	133	200	124	204	0	0	0	0	5.8650	9.8489
18	133	201	124	206	0	0	0	0	5.7761	10.2956
19	133	200	124	205	0	0	0	0	5.7761	10.2956
20	133	201	124	206	0	0	0	0	5.7761	10.2956
21	134	201	124	205	0	0	0	0	5.9027	10.7703
22	133	201	124	206	0	0	0	0	5.7761	10.2956
23	134	201	125	205	0	0	0	0	5.8650	9.8489
24	134	202	125	206	0	0	0	0	5.8650	9.8489
25	135	201	126	205	0	0	0	0	5.8650	9.8489
26	134	202	125	206	0	0	0	0	5.8650	9.8489
27	136	201	127	205	0	0	0	0	5.8650	9.8489
28	136	202	126	206	0	0	0	0	5.9027	10.7703
29	138	200	128	205	0	0	0	0	5.8195	11.1803
30	137	202	127	206	0	0	0	0	5.9027	10.7703
31	139	199	130	204	0	0	0	0	5.7761	10.2956
32	139	201	129	206	0	0	0	0	5.8195	11.1803
33	141	198	131	204	0	0	0	0	5.7428	11.6619
34	140	200	130	206	0	0	0	0	5.7428	11.6619
35	142	197	132	203	0	0	0	0	5.7428	11.6619
36	141	199	131	205	0	0	0	0	5.7428	11.6619
37	143	195	133	201	0	0	0	0	5.7428	11.6619
38	143	197	133	204	0	0	0	0	5.6725	12.2066
39	145	192	134	201	0	0	0	0	5.5975	14.2127
40	144	195	133	202	0	0	0	0	5.7165	13.0384
41	145	190	135	199	0	0	0	0	5.5504	13.4536
42	145	193	134	201	0	0	0	0	5.6544	13.6015
43	146	189	135	198	0	0	0	0	5.5975	14.2127
44	145	191	135	200	0	0	0	0	5.5504	13.4536
45	146	187	136	197	0	0	0	0	5.4978	14.1421
46	145	189	136	199	0	0	0	0	5.4452	13.4536
47	145	186	136	197	0	0	0	0	5.3981	14.2127
48	145	188	136	198	0	0	0	0	5.4452	13.4536
49	145	186	136	197	0	0	0	0	5.3981	14.2127
50	145	188	136	198	0	0	0	0	5.4452	13.4536
51	144	186	135	197	0	0	0	0	5.3981	14.2127
52	145	187	135	198	0	0	0	0	5.4502	14.8661
53	143	187	135	197	0	0	0	0	5.3871	12.8062
54	143	188	134	199	0	0	0	0	5.3981	14.2127
55	141	188	134	197	0	0	0	0	5.3734	11.4018
56	142	188	134	199	0	0	0	0	5.3412	13.6015
57	140	188	133	197	0	0	0	0	5.3734	11.4018
58	141	190	134	199	0	0	0	0	5.3734	11.4018
59	139	189	134	197	0	0	0	0	5.2710	9.4340
60	140	190	133	199	0	0	0	0	5.3734	11.4018
61	139	189	134	196	0	0	0	0	5.3326	8.6023
62	139	190	134	197	0	0	0	0	5.3326	8.6023
63	139	188	134	195	0	0	0	0	5.3326	8.6023
64	139	190	133	197	0	0	0	0	5.4210	9.2195
65	139	187	134	195	0	0	0	0	5.2710	9.4340
66	139	189	134	197	0	0	0	0	5.2710	9.4340
67	140	186	136	194	0	0	0	0	5.1760	8.9443
68	139	188	135	195	0	0	0	0	5.2315	8.0623
69	141	186	136	194	0	0	0	0	5.2710	9.4340
70	140	188	135	196	0	0	0	0	5.2710	9.4340
71	142	185	137	194	0	0	0	0	5.2195	10.2956
72	141	187	136	195	0	0	0	0	5.2710	9.4340
73	143	183	138	193	0	0	0	0	5.1760	11.1803
74	143	186	137	195	0	0	0	0	5.3004	10.8167
75	145	182	139	192	0	0	0	0	5.2528	11.6619
76	145	184	138	195	0	0	0	0	5.2791	13.0384
77	146	181	140	192	0	0	0	0	5.2117	12.5300
78	145	183	140	194	0	0	0	0	5.1390	12.0830
79	147	179	142	190	0	0	0	0	5.1390	12.0830
80	146	181	141	192	0	0	0	0	5.1390	12.0830
81	148	176	144	189	0	0	0	0	5.0109	13.6015
82	147	179	143	191	0	0	0	0	5.0341	12.6491
83	148	174	145	188	0	0	0	0	4.9235	14.3178
84	148	176	144	190	0	0	0	0	4.9907	14.5602
85	148	172	146	186	0	0	0	0	4.8543	14.1421
86	148	174	145	188	0	0	0	0	4.9235	14.3178
87	148	170	146	183	0	0	0	0	4.8650	13.1529
88	148	172	146	186	0	0	0	0	4.8543	14.1421
89	148	167	147	181	0	0	0	0	4.7837	14.0357
90	148	170	147	183	0	0	0	0	4.7892	13.0384
91	146	166	146	181	0	0	0	0	4.7124	15.0000
92	147	168	147	182	0	0	0	0	4.7124	14.0000
93	146	165	146	179	0	0	0	0	4.7124	14.0000
94	146	167	146	181	0	0	0	0	4.7124	14.0000
95	145	165	146	179	0	0	0	0	4.6411	14.0357
96	145	166	145	180	0	0	0	0	4.7124	14.0000
97	145	165	145	179	0	0	0	0	4.7124	14.0000
98	145	166	145	180	0	0	0	0	4.7124	14.0000
99	144	166	144	179	0	0	0	0	4.7124	13.0000
100	144	167	145	181	0	0	0	0	4.6411	14.0357
101	143	167	143	181	0	0	0	0	4.7124	14.0000
102	144	167	144	181	0	0	0	0	4.7124	14.0000
103	143	168	143	181	0	0	0	0	4.7124	13.0000
104	143	169	143	181	0	0	0	0	4.7124	12.0000
105	143	169	143	181	0	0	0	0	4.7124	12.0000
106	143	170	143	182	0	0	0	0	4.7124	12.0000
107	143	170	142	180	0	0	0	0	4.8121	10.0499
108	143	171	142	181	0	0	0	0	4.8121	10.0499
109	144	170	142	179	0	0	0	0	4.9311	9.2195
110	144	171	142	181	0	0	0	0	4.9098	10.1980
111	145	169	142	179	0	0	0	0	5.0038	10.4403
112	145	170	142	180	0	0	0	0	5.0038	10.4403
113	146	169	143	178	0	0	0	0	5.0341	9.4868
114	146	170	142	179	0	0	0	0	5.1306	9.8489
115	146	168	143	177	0	0	0	0	5.0341	9.4868
116	146	170	143	179	0	0	0	0	5.0341	9.4868
117	146	167	144	176	0	0	0	0	4.9311	9.2195
118	146	169	143	178	0	0	0	0	5.0341	9.4868
119	146	167	144	176	0	0	0	0	4.9311	9.2195
